Processing 866 markdown files...
path,size,lines,last_modified,location,suggested_state,topic,notes
".agent-os/_archive/README.md",3324,98,2025-10-23,agent-os-hidden,canonical,general,""
".agent-os/general/active/IMPLEMENTATION_QUICK_START.md",19511,794,2025-10-23,agent-os-hidden,canonical,general,""
".agent-os/README.md",8818,303,2025-10-23,agent-os-hidden,canonical,general,""
".agent-os/_archive/ai-copilot-COMPLETED.md",10410,378,2025-10-23,agent-os-hidden,historical,general,"Marked as "complete""
".agent-os/_archive/COMPLETE_IMPLEMENTATION_GUIDE.md",51943,1876,2025-10-23,agent-os-hidden,historical,general,"Marked as "complete""
".agent-os/_archive/dummy-data-generation-guide.md",30093,953,2025-10-23,agent-os-hidden,historical,general,""
".agent-os/_archive/IMPLEMENTATION_COMPLETE.md",17080,468,2025-10-23,agent-os-hidden,historical,general,"Marked as "complete""
".agent-os/_archive/implementation-tasks-breakdown.md",21753,691,2025-10-23,agent-os-hidden,historical,general,""
".agent-os/_archive/SPEC-wallet-market-detail-redesign.md",54262,1341,2025-10-23,agent-os-hidden,historical,wallet,""
".agent-os/_archive/ui-implementation-gaps.md",17609,774,2025-10-23,agent-os-hidden,historical,coverage,""
".agent-os/ai-copilot/active/AI_COPILOT_ROADMAP.md",25437,811,2025-10-23,agent-os-hidden,historical,general,""
".agent-os/ai-copilot/active/AI_COPILOT_STATUS.md",8159,302,2025-10-23,agent-os-hidden,historical,general,""
".agent-os/ai-copilot/active/AI_COPILOT_TESTING_GUIDE.md",10806,513,2025-10-23,agent-os-hidden,historical,general,""
".agent-os/ai-copilot/active/BUGS_FIXED_SESSION.md",7654,253,2025-10-23,agent-os-hidden,historical,general,""
".agent-os/ai-copilot/active/CRITICAL_FIXES_APPLIED.md",6835,270,2025-10-23,agent-os-hidden,historical,general,"Urgent/critical"
".agent-os/ai-copilot/active/DUPLICATE_KEY_FIX.md",3601,133,2025-10-23,agent-os-hidden,historical,general,""
".agent-os/ai-copilot/active/FINAL_FIXES_SUMMARY.md",9879,366,2025-10-23,agent-os-hidden,historical,general,"Marked as "final""
".agent-os/ai-copilot/active/NODE_PALETTE_CUSTOMIZATION.md",4618,181,2025-10-23,agent-os-hidden,historical,general,""
".agent-os/ai-copilot/active/TRANSFORM_NODE_GUIDE.md",10753,616,2025-10-23,agent-os-hidden,historical,general,""
".agent-os/ai-copilot/active/WORKFLOW_REAL_DATA_INTEGRATION_PLAN.md",29864,1124,2025-10-23,agent-os-hidden,historical,general,""
".agent-os/ai-copilot/finished/AI_COPILOT_COMPLETE.md",10960,380,2025-10-23,agent-os-hidden,historical,general,"Marked as "complete""
".agent-os/ai-copilot/finished/AI_COPILOT_GUIDE.md",10004,379,2025-10-23,agent-os-hidden,historical,general,""
".agent-os/ai-copilot/finished/NODE_FUNCTIONALITY_STATUS.md",8476,309,2025-10-23,agent-os-hidden,historical,general,""
".agent-os/ai-copilot/finished/POLYMARKET_INTEGRATION_COMPLETE.md",7145,248,2025-10-23,agent-os-hidden,historical,api,"Marked as "complete""
".agent-os/ai-copilot/finished/SESSION_COMPLETE.md",11052,388,2025-10-23,agent-os-hidden,historical,general,"Marked as "complete""
".agent-os/ai-copilot/finished/STRATEGY_DASHBOARD_REFACTOR.md",12326,380,2025-10-23,agent-os-hidden,historical,general,""
".agent-os/ai-copilot/finished/TRANSFORM_NODE_COMPLETE.md",8376,342,2025-10-23,agent-os-hidden,historical,general,"Marked as "complete""
".agent-os/ai-copilot/finished/WORKFLOW_SESSION_IMPLEMENTATION.md",15304,562,2025-10-23,agent-os-hidden,historical,general,""
".agent-os/features/ai-copilot-strategy-builder.md",36301,991,2025-10-23,agent-os-hidden,historical,general,""
".agent-os/features/phase-0-assessment-notes.md",11084,414,2025-10-23,agent-os-hidden,historical,general,""
".agent-os/features/polymarket-data-integration.md",27018,812,2025-10-23,agent-os-hidden,historical,api,""
".agent-os/features/polymarket-integration.md",29998,798,2025-10-23,agent-os-hidden,historical,api,""
".agent-os/features/polymarket-phase2-integration-summary.md",11674,295,2025-10-23,agent-os-hidden,historical,api,""
".agent-os/general/active/DEPLOYMENT_CHECKLIST.md",10027,410,2025-10-23,agent-os-hidden,historical,general,""
".agent-os/general/active/README_START_HERE.md",5925,232,2025-10-23,agent-os-hidden,historical,general,"Entry point doc"
".agent-os/general/active/THEME_EDITOR.md",11672,454,2025-10-23,agent-os-hidden,historical,general,""
".agent-os/general/active/THEME_INTEGRATION_GUIDE.md",9239,394,2025-10-23,agent-os-hidden,historical,general,""
".agent-os/general/active/THEME_PRESETS.md",15867,615,2025-10-23,agent-os-hidden,historical,general,""
".agent-os/general/active/THEME_SYSTEM_SUMMARY.md",10277,378,2025-10-23,agent-os-hidden,historical,general,""
".agent-os/general/finished/DEPLOYMENT_READY.md",7922,264,2025-10-23,agent-os-hidden,historical,general,""
".agent-os/general/finished/MISSION_ACCOMPLISHED.md",14236,515,2025-10-23,agent-os-hidden,historical,general,""
".agent-os/general/finished/PERFORMANCE_FIXES.md",6503,270,2025-10-23,agent-os-hidden,historical,general,""
".agent-os/general/finished/PERFORMANCE.md",4947,233,2025-10-23,agent-os-hidden,historical,general,""
".agent-os/general/finished/READY_TO_TEST.md",10840,385,2025-10-23,agent-os-hidden,historical,general,""
".agent-os/ORGANIZATION_REPORT.md",6558,221,2025-10-23,agent-os-hidden,historical,general,""
".agent-os/polymarket-integration/active/COMPLETE_DATA_INTEGRATION_PLAN.md",12314,419,2025-10-23,agent-os-hidden,historical,general,"Marked as "complete""
".agent-os/polymarket-integration/active/DATA_API_IMPLEMENTATION.md",11089,372,2025-10-23,agent-os-hidden,historical,api,""
".agent-os/polymarket-integration/active/FIXES_AND_VERIFICATION.md",5954,187,2025-10-23,agent-os-hidden,historical,general,""
".agent-os/polymarket-integration/active/HYBRID_DISCOVERY_SYSTEM.md",13594,496,2025-10-23,agent-os-hidden,historical,general,""
".agent-os/polymarket-integration/active/PRODUCTION_DATA_SYSTEM.md",10921,437,2025-10-23,agent-os-hidden,historical,general,""
".agent-os/polymarket-integration/active/SESSION_MANAGEMENT_PLAN.md",10283,419,2025-10-23,agent-os-hidden,historical,general,""
".agent-os/polymarket-integration/finished/API_INTEGRATION_COMPLETE.md",8169,345,2025-10-23,agent-os-hidden,historical,api,"Marked as "complete""
".agent-os/polymarket-integration/finished/BLOCKCHAIN_FEATURES_STATUS.md",13986,466,2025-10-23,agent-os-hidden,historical,general,""
".agent-os/polymarket-integration/finished/COMPLETE_SYSTEM_READY.md",12998,414,2025-10-23,agent-os-hidden,historical,general,"Marked as "complete""
".agent-os/polymarket-integration/finished/DATA_API_TESTING.md",4053,118,2025-10-23,agent-os-hidden,historical,api,""
".agent-os/polymarket-integration/finished/DATA_INGESTION_COMPLETE.md",9873,330,2025-10-23,agent-os-hidden,historical,general,"Marked as "complete""
".agent-os/polymarket-integration/finished/FINAL_SESSION_SUMMARY.md",15810,553,2025-10-23,agent-os-hidden,historical,general,"Marked as "final""
".agent-os/polymarket-integration/finished/MARKET_DETAIL_CLEANUP_COMPLETE.md",4327,120,2025-10-23,agent-os-hidden,historical,market,"Marked as "complete""
".agent-os/polymarket-integration/finished/MARKET_DETAIL_UX_ANALYSIS.md",43570,1091,2025-10-23,agent-os-hidden,historical,market,""
".agent-os/polymarket-integration/finished/MIGRATION_SUCCESS_SUMMARY.md",9867,333,2025-10-23,agent-os-hidden,historical,general,""
".agent-os/polymarket-integration/finished/MOCK_DATA_REMOVAL_COMPLETE.md",7737,280,2025-10-23,agent-os-hidden,historical,general,"Marked as "complete""
".agent-os/polymarket-integration/finished/POLYMARKET_DATA_ACCURACY_COMPLETE.md",11802,337,2025-10-23,agent-os-hidden,historical,api,"Marked as "complete""
".agent-os/polymarket-integration/finished/POLYMARKET_INTEGRATION_COMPLETE.md",13935,487,2025-10-23,agent-os-hidden,historical,api,"Marked as "complete""
".agent-os/polymarket-integration/finished/REAL_DATA_INTEGRATION_SUMMARY.md",12634,492,2025-10-23,agent-os-hidden,historical,general,""
".agent-os/polymarket-integration/finished/SESSION_MANAGEMENT_COMPLETE.md",7804,343,2025-10-23,agent-os-hidden,historical,general,"Marked as "complete""
".agent-os/polymarket-integration/finished/TODAYS_PROGRESS_AND_NEXT_STEPS.md",12146,434,2025-10-23,agent-os-hidden,historical,general,""
".agent-os/polymarket-integration/finished/TRADE_AGGREGATION_SUMMARY.md",13083,395,2025-10-23,agent-os-hidden,historical,trading,""
".agent-os/polymarket-integration/finished/UX_ANALYSIS_WALLET_DETAIL.md",30773,676,2025-10-23,agent-os-hidden,historical,wallet,""
".agent-os/polymarket-integration/finished/UX_RECOMMENDATIONS_FOCUSED.md",27417,984,2025-10-23,agent-os-hidden,historical,general,""
".agent-os/polymarket-integration/finished/WALLET_ANALYTICS_MIGRATION_REPORT.md",17643,579,2025-10-23,agent-os-hidden,historical,wallet,""
".agent-os/product/architecture.md",51808,1187,2025-10-23,agent-os-hidden,historical,architecture,""
".agent-os/product/component-mapping.md",33298,930,2025-10-20,agent-os-hidden,historical,general,""
".agent-os/product/CRITICAL_TECHNICAL_DECISIONS.md",9581,285,2025-10-20,agent-os-hidden,historical,general,"Urgent/critical"
".agent-os/product/hub-specifications.md",73153,2399,2025-10-20,agent-os-hidden,historical,general,""
".agent-os/product/IMPLEMENTATION_OPERATIONS_MANUAL.md",54276,1873,2025-10-20,agent-os-hidden,historical,general,""
".agent-os/product/ROADMAP_CHECKLIST.md",14108,457,2025-10-23,agent-os-hidden,historical,general,""
".agent-os/product/roadmap.md",10692,394,2025-10-20,agent-os-hidden,historical,general,""
".agent-os/product/spec.md",59489,1688,2025-10-23,agent-os-hidden,historical,general,""
".agent-os/product/tech-stack.md",5392,192,2025-10-20,agent-os-hidden,historical,general,""
".agent-os/product/technical-design.md",38822,1401,2025-10-20,agent-os-hidden,historical,general,""
".agent-os/product/template-audit.md",12312,315,2025-10-20,agent-os-hidden,historical,general,""
".agent-os/specs/spec-20251026-autonomous-strategy-execution/DEPLOYMENT_CHECKLIST.md",23576,783,2025-10-27,agent-os-hidden,historical,general,""
".agent-os/specs/spec-20251026-autonomous-strategy-execution/IMPLEMENTATION-SUMMARY-TASK-GROUP-2.md",10098,305,2025-10-27,agent-os-hidden,historical,general,""
".agent-os/specs/spec-20251026-autonomous-strategy-execution/planning/requirements.md",19308,607,2025-10-27,agent-os-hidden,historical,general,""
".agent-os/specs/spec-20251026-autonomous-strategy-execution/spec.md",60271,1677,2025-10-27,agent-os-hidden,historical,general,""
".agent-os/specs/spec-20251026-autonomous-strategy-execution/TASK_GROUP_5_SUMMARY.md",15088,424,2025-10-27,agent-os-hidden,historical,general,""
".agent-os/specs/spec-20251026-autonomous-strategy-execution/TASK_GROUP_7_SUMMARY.md",14314,479,2025-10-27,agent-os-hidden,historical,general,""
