wallet_address,pnl_usd,total_gains_usd,total_losses_usd
0xc02147dee42356b7a4edbb1c35ac4ffa95f61fa8,135153,174150,38997
0x662244931c392df70bd064fa91f838eea0bfd7a9,131523,169515,37992
0x2e0b70d482e6b389e81dea528be57d825dd48070,152389,199729,47340
0x3b6fd06a595d71c70afb3f44414be1c11304340b,158864,210183,51319
0xd748c701ad93cfec32a3420e10f3b08e68612125,142856,198982,56126
0x2a019dc0089ea8c6edbbafc8a7cc9ba77b4b6397,101164,142036,40872
0xd06f0f7719df1b3b75b607923536b3250825d4a6,168621,237653,69032
0xa4b366ad22fc0d06f1e934ff468e8922431a87b8,93181,132970,39789
0xeb6f0a13ea8c5a7a0514c25495adbe815c1025f0,124705,189535,64830
0x7f3c8979d0afa00007bae4747d5347122af05613,179243,179527,284
0x1489046ca0f9980fc2d9a950d103d3bec02c1307,137663,145976,8313
0x8e9eedf20dfa70956d49f608a205e402d9df38e4,360492,366546,6054
0xcce2b7c71f21e358b8e5e797e586cbc03160d58b,94730,205410,110680
0x6770bf688b8121331b1c5cfd7723ebd4152545fb,12171,16715,4544
